dws.dws_wbf_sku_fixed_procurement_expense
    wbf_pur_fixed_fee 固定费用—采购费用
    pur_labor_costs 固定费用—采购费用—人工成本
    pur_welfare_funds 固定费用—采购费用—福利费
    pur_incentive_fee 固定费用—采购费用—激励费
    pur_rent_property 固定费用—采购费用—房租物业
    pur_office_fee 固定费用—采购费用—办公费用
    pur_travel_fee 固定费用—采购费用—差旅会议
    pur_agency_fee 固定费用—采购费用—代理费
    pur_transportation_fee 固定费用—采购费用—交通运输
    pur_depreciation_fee 固定费用—采购费用—折旧摊销
    pur_lease_fee 固定费用—采购费用—租赁费
dws.dws_wbf_sku_fixed_db_sell_expense
    wbf_se_fixed_fee 固定费用—销售费用
    se_labor_costs 固定费用—销售费用—人工成本
    se_welfare_funds 固定费用—销售费用—福利费
    se_incentive_fee 固定费用—销售费用—激励费
    se_rent_property 固定费用—销售费用—房租物业
    se_office_fee 固定费用—销售费用—办公费用
    se_travel_fee 固定费用—销售费用—差旅会议
    se_agency_fee 固定费用—销售费用—代理费
    se_transportation_fee 固定费用—销售费用—交通运输
    se_depreciation_fee 固定费用—销售费用—折旧摊销
    se_lease_fee 固定费用—销售费用—租赁费
dws.dws_wbf_sku_fixed_service_expense
    wbf_co_fixed_fee 固定费用—客服费用
    co_labor_costs 固定费用—客服费用—人工成本
    co_welfare_funds 固定费用—客服费用—福利费
    co_incentive_fee 固定费用—客服费用—激励费
    co_rent_property 固定费用—客服费用—房租物业
    co_office_fee 固定费用—客服费用—办公费用
    co_travel_fee 固定费用—客服费用—差旅会议
    co_agency_fee 固定费用—客服费用—代理费
    co_transportation_fee 固定费用—客服费用—交通运输
    co_depreciation_fee 固定费用—客服费用—折旧摊销
    co_lease_fee 固定费用—客服费用—租赁费
dws.dws_wbf_sku_fixed_management_expense
    wbf_ma_fixed_fee 固定费用—管理费用
    ma_labor_costs 固定费用—管理费用—人工成本
    ma_welfare_funds 固定费用—管理费用—福利费
    ma_incentive_fee 固定费用—管理费用—激励费
